title,price,location,date,model,storage,price_num,normalized_link
Iphone 16 256g 白色,"NT$29,500",New Taipei City,2025-06-26,iPhone 16,256,29500.0,https://www.facebook.com/marketplace/item/4160069027563893/
iphone 14 pro 256g 紫色,"NT$16,000",New Taipei City,2025-06-26,iPhone 14 Pro,256,16000.0,https://www.facebook.com/marketplace/item/1081638170500962/
賣全新未拆封 iphone 16 256g 黑色台灣原廠公司貨👍 限面交 若有其他型號需求請私訊,"NT$29,999","Taipei, Taiwan",2025-06-26,iPhone 16,256,29999.0,https://www.facebook.com/marketplace/item/1936000160562824/
iPhone 13 Pro 512G,"NT$13,500",New Taipei City,2025-06-26,iPhone 13 Pro,512,13500.0,https://www.facebook.com/marketplace/item/572522195694345/
"I phone 15 pro max , 256 gb, 90% battery health","NT$30,000",New Taipei City,2025-06-26,iPhone 15 Pro Max,256,30000.0,https://www.facebook.com/marketplace/item/2011491585925656/
I phone15 pro 128,"NT$22,000",New Taipei City,2025-06-26,iPhone 15 Pro,128,22000.0,https://www.facebook.com/marketplace/item/1455318285840425/
iPhone 16 128GB 綠 原廠保固,"NT$24,000",New Taipei City,2025-06-26,iPhone 16,128,24000.0,https://www.facebook.com/marketplace/item/3264028850429981/
iPhone 16e 白 128G,"NT$18,800",New Taipei City,2025-06-26,iPhone 16E,128,18800.0,https://www.facebook.com/marketplace/item/1267186531539634/
iPhone 16 粉/256g/電池健康度100% 有盒漂亮無傷 保固至26/3/25,"NT$25,000",New Taipei City,2025-06-26,iPhone 16,256,25000.0,https://www.facebook.com/marketplace/item/710737495207144/
完美二手 iPhone16 Pro 512G 金色~電池循環1次~6.3吋,"NT$36,500",New Taipei City,2025-06-26,iPhone 16 Pro,512,36500.0,https://www.facebook.com/marketplace/item/1474608140505314/
iphone13二手機,"NT$11,500",New Taipei City,2025-06-26,iPhone 13,Unknown,11500.0,https://www.facebook.com/marketplace/item/685599824057238/
iPhone 16 pro 128g 沙漠金✨全機無傷 新北面交,"NT$28,000",New Taipei City,2025-06-26,iPhone 16 Pro,128,28000.0,https://www.facebook.com/marketplace/item/714329348013615/
iPhone16promax512g白色,"NT$38,000",New Taipei City,2025-06-26,iPhone 16 Pro Max,512,38000.0,https://www.facebook.com/marketplace/item/1511867779787164/
想收iPhone 16(256g),"$21,500",New Taipei City,2025-06-26,iPhone 16,256,21500.0,https://www.facebook.com/marketplace/item/1914803712671896/
iPhone 16 粉紅色256g全新,"$31,400",New Taipei City,2025-06-26,iPhone 16,256,31400.0,https://www.facebook.com/marketplace/item/1055019079513056/
iPhone 16 Plus 256白/保114.12/電池100%,"NT$29,000",New Taipei City,2025-06-26,iPhone 16 Plus,256,29000.0,https://www.facebook.com/marketplace/item/1213210283438765/
iPhone16 plus 128g 綠,"NT$26,300",New Taipei City,2025-06-26,iPhone 16 Plus,128,26300.0,https://www.facebook.com/marketplace/item/2174843296291954/
想收iPhone 16一隻,"$20,000",New Taipei City,2025-06-26,iPhone 16,Unknown,20000.0,https://www.facebook.com/marketplace/item/687448184168088/
16 pro 256 黑色,"NT$33,500",New Taipei City,2025-06-26,iPhone 16 Pro,256,33500.0,https://www.facebook.com/marketplace/item/1902158127273340/
iPhone 16 plus 128Gb,"NT$26,300",New Taipei City,2025-06-26,iPhone 16 Plus,128,26300.0,https://www.facebook.com/marketplace/item/1696281057760691/
iPhone16 Pro Max/256g,"NT$38,000","Taipei, Taiwan",2025-06-26,iPhone 16 Pro Max,256,38000.0,https://www.facebook.com/marketplace/item/1232445514988203/
全新 iPhone 16 Pro 256GB 黑色,"NT$37,000",New Taipei City,2025-06-26,iPhone 16 Pro,256,37000.0,https://www.facebook.com/marketplace/item/721913153824246/
iPhone 16 pro max 256Gb,"NT$36,000",New Taipei City,2025-06-26,iPhone 16 Pro Max,256,36000.0,https://www.facebook.com/marketplace/item/24273089842295513/
iPhone16 pro 256g 白鈦,"NT$35,000",New Taipei City,2025-06-26,iPhone 16 Pro,256,35000.0,https://www.facebook.com/marketplace/item/1442244914162728/
iphone 16黑色128g,"NT$26,500","Taipei, Taiwan",2025-06-26,iPhone 16,128,26500.0,https://www.facebook.com/marketplace/item/30537488165849817/
iPhone 16 Pro Max 256G 全系列,"NT$39,390","Taipei, Taiwan",2025-06-26,iPhone 16 Pro Max,256,39390.0,https://www.facebook.com/marketplace/item/2323440371422580/
[雙北面交] iPhone 16 ProMax 256GB（金色/黑色/原色）全新未拆封,"NT$38,700",New Taipei City,2025-06-26,iPhone 16 Pro Max,256,38700.0,https://www.facebook.com/marketplace/item/1015489680772280/
《 購 買 》 全新iphone16 pro max 256g,"NT$32,000","Taipei, Taiwan",2025-06-26,iPhone 16 Pro Max,256,32000.0,https://www.facebook.com/marketplace/item/700937012789580/
iPhone 12promax 512G 黑色 電89 原盒原線,"NT$13,008",New Taipei City,2025-06-26,iPhone 12 Pro Max,512,13008.0,https://www.facebook.com/marketplace/item/718662637236221/
售 Apple Iphone 15 Pro max 512GB 黑色,"$29,500","Taipei, Taiwan",2025-06-26,iPhone 15 Pro Max,512,29500.0,https://www.facebook.com/marketplace/item/1221406309208838/
iPhone 16 pro ZIFRIEND零失敗手機膜,NT$500,"Taipei, Taiwan",2025-06-26,iPhone 16 Pro,Unknown,500.0,https://www.facebook.com/marketplace/item/1779614359573660/
Iphone16promax 256g 白色,"NT$39,600",New Taipei City,2025-06-26,iPhone 16 Pro Max,256,39600.0,https://www.facebook.com/marketplace/item/1431307861232508/
回收二手iPhone 11-16,$300,New Taipei City,2025-06-26,iPhone 11,Unknown,300.0,https://www.facebook.com/marketplace/item/1025856136427668/
iPhone 16 Plus 粉色,"$27,500",New Taipei City,2025-06-26,iPhone 16 Plus,Unknown,27500.0,https://www.facebook.com/marketplace/item/744736704567351/
iPhone 12 Pro,"$6,000",New Taipei City,2025-06-26,iPhone 12 Pro,Unknown,6000.0,https://www.facebook.com/marketplace/item/1513387616166835/
Iphone 14 Pro 256 紫,"NT$17,800","Taipei, Taiwan",2025-06-26,iPhone 14 Pro,256,17800.0,https://www.facebook.com/marketplace/item/1799348087458207/
想找一隻iphone16 PRO MAX 雙北 二手也行,"NT$32,000",New Taipei City,2025-06-26,iPhone 16 Pro Max,Unknown,32000.0,https://www.facebook.com/marketplace/item/1534081127569209/
Iphone 16pro 128 白 原,"NT$30,000",New Taipei City,2025-06-26,iPhone 16 Pro,128,30000.0,https://www.facebook.com/marketplace/item/4180349388918394/
Iphone 16 128 白 黑 原,"NT$22,000",New Taipei City,2025-06-26,iPhone 16,128,22000.0,https://www.facebook.com/marketplace/item/734783289012815/
