excluded_reason,title,price,location,date,model,storage,price_num,normalized_link
Duplicate link,iPhone 16e 128g 白 電池100% 循環20次 客人用不習慣 保固到2026/5/2 有盒裝有配件,"$18,000","Taipei, Taiwan",2025-06-25,iPhone 16E,128,18000.0,https://www.facebook.com/marketplace/item/1753941032213201/
Duplicate link,Iphone16plus128綠色,"NT$25,500",New Taipei City,2025-06-25,iPhone 16 Plus,128,25500.0,https://www.facebook.com/marketplace/item/1039550948294394/
Duplicate link,iPhone 16E 256g 白,"NT$22,300",New Taipei City,2025-06-25,iPhone 16E,256,22300.0,https://www.facebook.com/marketplace/item/496917516812457/
Duplicate link,想收iPhone 16一隻,"$20,000",New Taipei City,2025-06-25,iPhone 16,Unknown,20000.0,https://www.facebook.com/marketplace/item/687448184168088/
Duplicate link,iPhone 16 粉紅色256g全新,"$31,400",New Taipei City,2025-06-25,iPhone 16,256,31400.0,https://www.facebook.com/marketplace/item/1055019079513056/
Duplicate link,iPhone 13,"$8,800",New Taipei City,2025-06-25,iPhone 13,Unknown,8800.0,https://www.facebook.com/marketplace/item/560432297136902/
Duplicate link,售 全新未拆未開通16 兩隻,"NT$9,999",New Taipei City,2025-06-25,Unknown,Unknown,9999.0,https://www.facebook.com/marketplace/item/2996787790503655/
Duplicate link,iPhone 16 Pro 256,"NT$31,500",New Taipei City,2025-06-25,iPhone 16 Pro,256,31500.0,https://www.facebook.com/marketplace/item/1431863791279630/
Duplicate link,iPhone 16 Plus 256G 保2026/1/5,"NT$26,800",New Taipei City,2025-06-25,iPhone 16 Plus,256,26800.0,https://www.facebook.com/marketplace/item/1968929736974841/
Duplicate link,Iphone 16 128g,"NT$25,500",New Taipei City,2025-06-25,iPhone 16,128,25500.0,https://www.facebook.com/marketplace/item/2518256651857698/
Duplicate link,iPhone 16 128Gb,"NT$2,000","Taipei, Taiwan",2025-06-25,iPhone 16,128,2000.0,https://www.facebook.com/marketplace/item/694609966684491/
Duplicate link,iPhone 16 256g,"NT$2,000",New Taipei City,2025-06-25,iPhone 16,256,2000.0,https://www.facebook.com/marketplace/item/1397622171548947/
Duplicate link,Iphone16粉 128G 🔋100#,"$22,000",New Taipei City,2025-06-25,iPhone 16,128,22000.0,https://www.facebook.com/marketplace/item/1200974007751669/
Duplicate link,全新Apple iPhone 16 Pro 256g白色贈20W充電插頭（蘆洲）,"NT$35,700",New Taipei City,2025-06-25,iPhone 16 Pro,256,35700.0,https://www.facebook.com/marketplace/item/1780154292534562/
Duplicate link,iPhone 16e 128G 黑 台中實體店面,"NT$17,000","Taichung, Taiwan",2025-06-25,iPhone 16E,128,17000.0,https://www.facebook.com/marketplace/item/1817811215431029/
Duplicate link,售iphone16 pro 256g 白,"NT$32,800","Taoyuan District, Taoyuan",2025-06-25,iPhone 16 Pro,256,32800.0,https://www.facebook.com/marketplace/item/742668231542599/
Duplicate link,[雙北面交] iPhone 16 Pro 256GB（白色）全新未拆封,"NT$34,500",New Taipei City,2025-07-03,iPhone 16 Pro,256,34500.0,https://www.facebook.com/marketplace/item/734479522592118/
Duplicate link,全新 iPhone 16 Pro 256GB 黑色,"NT$37,000",New Taipei City,2025-07-03,iPhone 16 Pro,256,37000.0,https://www.facebook.com/marketplace/item/721913153824246/
Duplicate link,回收二手iPhone 11-16,$300,New Taipei City,2025-07-03,iPhone 11,Unknown,300.0,https://www.facebook.com/marketplace/item/1025856136427668/
Duplicate link,Iphone 15 128g,"NT$16,000","Taipei, Taiwan",2025-07-03,iPhone 15,128,16000.0,https://www.facebook.com/marketplace/item/1215464859983904/
Duplicate link,iPhone 16 por max 256G 沙漠金 僅充電7次 完美,"NT$20,000",New Taipei City,2025-07-03,iPhone 16,256,20000.0,https://www.facebook.com/marketplace/item/739669458416108/
Duplicate link,二手IPhone 15 pro 256G 原鈦色,"NT$20,000","Taipei, Taiwan",2025-07-03,iPhone 15 Pro,256,20000.0,https://www.facebook.com/marketplace/item/1550253255659495/
Duplicate link,售iphone16 pro 128 g 沙漠色全新,"NT$32,000","Taipei, Taiwan",2025-07-03,iPhone 16 Pro,128,32000.0,https://www.facebook.com/marketplace/item/701199099120344/
Duplicate link,"The price is now NT$3,000 less for a listing you saved: M1 pro 16吋灰色，全機包膜1d",N/A,Unknown,2025-06-27,Unknown,Unknown,,https://www.facebook.com/marketplace/item/23913620358326240
Duplicate link,iPhone 16e 128G 黑 電池健康度100 台中實體店面 安心有保障🤩,"NT$17,000","Taichung, Taiwan",2025-06-27,iPhone 16E,128,17000.0,https://www.facebook.com/marketplace/item/747819767907078/
Duplicate link,Iphone16e白色,"$19,000",Chiayi,2025-06-27,iPhone 16E,Unknown,19000.0,https://www.facebook.com/marketplace/item/568602919451375/
Duplicate link,iPhone 16 Pro 128G全新未拆 Pchome購入,"NT$32,000","Taipei, Taiwan",2025-06-27,iPhone 16 Pro,128,32000.0,https://www.facebook.com/marketplace/item/1784010465543092/
Duplicate link,iphone16 256G 綠色 電池健康度100 原廠保固內 台中實體店面😊,"NT$26,500","Taichung, Taiwan",2025-06-27,iPhone 16,256,26500.0,https://www.facebook.com/marketplace/item/1240246994265381/
Duplicate link,iPhone 16 Pro Max 256GB,"$39,800","Taipei, Taiwan",2025-06-27,iPhone 16 Pro Max,256,39800.0,https://www.facebook.com/marketplace/item/1783476125715371/
Duplicate link,iPhone 16Pro 256G 🔋100% ✨,"NT$31,500","Taoyuan District, Taoyuan",2025-06-27,iPhone 16 Pro,256,31500.0,https://www.facebook.com/marketplace/item/1023086683331641/
Duplicate link,Iphone 15 128g,"NT$16,000","Taipei, Taiwan",2025-06-27,iPhone 15,128,16000.0,https://www.facebook.com/marketplace/item/1215464859983904/
Duplicate link,iPhone 16 pro max 256 黑 🔋100保固2026/6/5,"NT$36,000",New Taipei City,2025-06-27,iPhone 16 Pro Max,256,36000.0,https://www.facebook.com/marketplace/item/1619332698757489/
Duplicate link,iPhone 16 pro max 256 白 🔋100保固2025/9/20,"NT$36,000",New Taipei City,2025-06-27,iPhone 16 Pro Max,256,36000.0,https://www.facebook.com/marketplace/item/1093202022716442/
Duplicate link,售二手iPhone 14 Pro 256G 或全新 iPhone 16 Pro 256G,"NT$16,500","Taipei, Taiwan",2025-06-27,Multiple,256,16500.0,https://www.facebook.com/marketplace/item/735377885567926/
Duplicate link,售iPhone 16 128G 白色,"NT$23,500",New Taipei City,2025-06-27,iPhone 16,128,23500.0,https://www.facebook.com/marketplace/item/893595182967478/
Duplicate link,iPhone 16 128GB 綠,"NT$24,000",New Taipei City,2025-06-27,iPhone 16,128,24000.0,https://www.facebook.com/marketplace/item/24122456704038722/
Duplicate link,比原廠便宜$3000元 【出售】 iPhone 16e 128灰 【容量】128G 【保固】原廠保固一年 【電池健康度】 100% 【外觀】 全新未拆 【貨源】 公司貨 【售價】$18900 【電話,"$18,900",New Taipei City,2025-06-27,iPhone 16E,128,18900.0,https://www.facebook.com/marketplace/item/1056774839115279/
Duplicate link,iPhone 16 pro max 512g 大容量,"NT$40,000",New Taipei City,2025-06-27,iPhone 16 Pro Max,512,40000.0,https://www.facebook.com/marketplace/item/736340732280420/
